NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT04461977,UNKNOWN,Peripheral Neuropathy Due to Chemotherapy,OTHER: True acupuncture|OTHER: Sham acupuncture,Instituto Brasileiro de Controle do Cancer,,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,1/30/2020,2/28/2022
NCT05422794,RECRUITING,Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Locally Advanced Triple-Negative Breast Carcinoma|Metastatic Triple-Negative Breast Carcinoma|Unresectable Triple-Negative Breast Carcinoma,DRUG: BET Bromodomain Inhibitor ZEN-3694|PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|DRUG: Nab-paclitaxel|BIOLOGICAL: Pembrolizumab,National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",PHASE1,57,NIH,INTERVENTIONAL,5/18/2023,12/31/2025
NCT05122494,RECRUITING,Breast Cancer,DRUG: Hemay022+AI|DRUG: Lapatinib+Capecitabine,"Tianjin Hemay Oncology Pharmaceutical Co., Ltd",,FEMALE,"ADULT, OLDER_ADULT",PHASE3,339,INDUSTRY,INTERVENTIONAL,1/19/2022,2024-06
NCT05000294,SUSPENDED,Bile Duct Cancer|Gall Bladder Cancer|Breast Cancer|Neuroendocrine Tumors|Ovarian Cancer|Pancreatic Adenocarcinoma|Soft Tissue Sarcoma|Vulvar Cancer|Prostate Cancer,DRUG: Atezolizumab|DRUG: Tivozanib,University of Florida,"Genentech, Inc.|Aveo Oncology Pharmaceuticals",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,29,OTHER,INTERVENTIONAL,11/3/2021,2024-06
NCT05134194,UNKNOWN,Triple Negative Breast Cancer,DRUG: Camrelizumabã€Capecitabine/eribulin/gemcitabine/vinorelbine|DRUG: Capecitabine/eribulin/gemcitabine/vinorelbine,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",,FEMALE,"ADULT, OLDER_ADULT",PHASE3,104,INDUSTRY,INTERVENTIONAL,11/30/2021,4/30/2023
NCT05968677,RECRUITING,Breast Cancer,DIETARY_SUPPLEMENT: FSMP|OTHER: Nutritional counseling,Flavolife Srl,,FEMALE,"ADULT, OLDER_ADULT",NA,60,INDUSTRY,INTERVENTIONAL,8/4/2023,2025-08
NCT05291494,COMPLETED,Breast Cancer Female,BEHAVIORAL: follow the WeChat public platform to watch the education videos|BEHAVIORAL: regular preoperative visits and education by ward nurses.,West China Hospital,,FEMALE,"ADULT, OLDER_ADULT",NA,392,OTHER,INTERVENTIONAL,2/1/2021,3/31/2022
NCT04532177,ACTIVE_NOT_RECRUITING,Breast Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT),Stony Brook University,,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,15,OTHER,INTERVENTIONAL,8/19/2020,8/31/2027
NCT05288777,RECRUITING,Breast Cancer|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III,DRUG: T-DM1|DRUG: Capecitabine|RADIATION: External Beam Radiation Therapy 0|RADIATION: External Beam Radiation Therapy 1,University of Virginia,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,45,OTHER,INTERVENTIONAL,7/11/2022,2026-10
NCT04953377,RECRUITING,Advanced Breast Cancer,BEHAVIORAL: PFMT educational intervention,Onkologikoa,,FEMALE,"ADULT, OLDER_ADULT",NA,42,OTHER,INTERVENTIONAL,9/2/2021,4/10/2023
