NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT04446377,COMPLETED,COVID-19 Disease,DRUG: Apilimod Dimesylate Capsule|OTHER: Placebo,OrphAI Therapeutics,Yale University,ALL,"ADULT, OLDER_ADULT",PHASE2,142,INDUSTRY,INTERVENTIONAL,7/15/2020,4/19/2021
NCT05508477,RECRUITING,COVID-19 Pandemic|COVID-19 Vaccines,BIOLOGICAL: Vaksin Merah Putih - UA SARS-CoV-2 (Vero Cell Inactivated) 5 µg|BIOLOGICAL: CoronaVac Biofarma COVID-19 Vaccine,Dr. Soetomo General Hospital,"Indonesia-MoH|Universitas Airlangga|Biotis Pharmaceuticals, Indonesia",ALL,"ADULT, OLDER_ADULT",PHASE3,4005,OTHER_GOV,INTERVENTIONAL,6/28/2022,5/28/2023
NCT04472494,TERMINATED,COVID-19|SARS-CoV-2,BIOLOGICAL: Abatacept|OTHER: Placebo,Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",PHASE2,61,INDUSTRY,INTERVENTIONAL,10/14/2020,9/13/2021
NCT04720794,COMPLETED,Covid19|SARS (Severe Acute Respiratory Syndrome)|Corona Virus Infection,DEVICE: Lucira COVID-19 All-In-One test kit,Lucira Health Inc,,ALL,"ADULT, OLDER_ADULT",NA,101,INDUSTRY,INTERVENTIONAL,9/25/2020,10/20/2020
NCT04598594,COMPLETED,Covid19|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere,"DRUG: Patch, Nicotine|DRUG: Patch, Placebo",Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",PHASE3,220,OTHER,INTERVENTIONAL,11/6/2020,6/20/2021
NCT05188677,COMPLETED,COVID-19,"BIOLOGICAL: Candidate vaccine, SCB-2019|BIOLOGICAL: Comirnaty Vaccine|BIOLOGICAL: Vaxzevria Vaccine|BIOLOGICAL: CoronaVac Vaccine",Clover Biopharmaceuticals AUS Pty Ltd,,ALL,"ADULT, OLDER_ADULT",PHASE3,1831,INDUSTRY,INTERVENTIONAL,6/13/2022,6/6/2023
NCT04904471,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: Recombinant COVID-19 vaccine (Sf9 cells)|OTHER: Placebo control,"WestVac Biopharma Co., Ltd.",West China Hospital,ALL,"ADULT, OLDER_ADULT",PHASE3,40000,INDUSTRY,INTERVENTIONAL,6/15/2021,12/31/2023
NCT05578391,COMPLETED,COVID-19,BIOLOGICAL: Convalescent plasma,Fundacin Biomedica Galicia Sur,Health Knowledge Agency,ALL,"ADULT, OLDER_ADULT",PHASE2,61,OTHER,INTERVENTIONAL,1/1/2020,3/31/2021
NCT05722691,COMPLETED,COVID-19,DRUG: Double-Stranded RNA sodium salt|DRUG: Placebo,"Promomed, LLC",,ALL,"ADULT, OLDER_ADULT",PHASE3,800,OTHER,INTERVENTIONAL,6/9/2022,1/17/2023
NCT04621071,COMPLETED,COVID-19,DIETARY_SUPPLEMENT: Probiotics (2 strains 10x10^9 UFC)|DIETARY_SUPPLEMENT: Placebo (potato starch and magnesium stearate),Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Lallemand Health Solutions,ALL,"ADULT, OLDER_ADULT",NA,17,OTHER,INTERVENTIONAL,1/12/2021,10/12/2021
