NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04821531,NO,2022-02-23,
NCT05808231,NO,2022-06-30,
NCT04347382,NO,2020-08-30,
NCT05162482,NO,2024-06-30,
NCT04957082,NO,2022-12-19,
NCT05366231,NO,2022-09-15,
NCT04766931,NO,2022-08-12,
NCT05401331,NO,2022-05-01,
NCT05454631,NO,2023-10-30,
NCT05228782,NO,2022-11-01,
NCT05258682,NO,2022-09-30,
NCT04367831,NO,2021-05-12,
NCT04941131,NO,2021-12,
NCT05765331,NO,2023-12-31,
NCT05212831,NO,2023-03-02,
NCT04344431,NO,2022-04,
NCT04842331,NO,2022-01,
NCT06124131,NO,2024-03-31,
NCT04354831,NO,2021-02-10,
NCT04937582,NO,2023-09-27,
NCT05970731,NO,2024-05,
NCT04434131,YES,2020-07-31,2021-03-15
NCT04808882,NO,2022-01-10,
NCT04392531,NO,2021-03-31,
NCT04349631,YES,2020-11-25,2023-08-17
NCT05467982,NO,2022-04-30,
NCT04741282,NO,2021-10-30,
NCT04357782,YES,2020-10-13,2021-12-06
NCT05087082,NO,2023-09-20,
NCT05293431,NO,2023-07-31,
NCT04542031,NO,2024-01,
NCT05220631,NO,2023-10-31,
NCT04408131,NO,2021-01-27,
NCT06004531,NO,2024-07-31,
NCT05019482,NO,2021-12-17,
NCT05197582,NO,2021-06-01,
NCT04412291,NO,2021-03,
NCT06050460,NO,2023-10-30,
NCT04414631,NO,2021-09-15,
NCT04548531,YES,2021-04-30,2022-04-13
NCT05882331,NO,2023-12-31,
NCT04954131,NO,2021-11-15,
NCT05441631,NO,2020-07-15,
NCT04568031,YES,2021-11-22,2022-08-16
NCT04581031,NO,2022-04-22,
NCT04907331,NO,2021-11-30,
NCT04319731,NO,2020-06-09,
NCT05926531,NO,2024-05-15,
NCT06113731,NO,2023-10-30,
NCT04863131,NO,2022-12-31,
NCT05445531,NO,2023-01-31,
NCT04500626,NO,2022-08,
NCT04809974,NO,2023-12-31,
NCT04388826,YES,2020-12-18,2021-10-20
NCT04340557,YES,2020-06-13,2021-05-20
NCT04682574,NO,2022-02-28,
NCT04324073,NO,2021-03-27,
NCT04806074,NO,2020-12-06,
NCT04531774,NO,2021-06-01,
NCT04920773,NO,2021-05-21,
NCT05736874,YES,2022-03-17,2023-03-17
NCT05703074,NO,2024-04,
NCT04375774,NO,2020-05,
NCT04451174,NO,2021-01-30,
NCT05050474,NO,2022-02-18,
NCT04699916,NO,2021-05-23,
NCT04363216,NO,2021-05,
NCT05866224,NO,2023-01-01,
NCT05109624,NO,2022-01-01,
NCT06141824,NO,2023-02-16,
NCT05205434,NO,2022-08-05,
NCT05258734,NO,2022-07-29,
NCT04920916,YES,2023-04-18,2023-09-13
NCT04351724,NO,2021-12-01,
NCT04414124,NO,2021-02-02,
NCT05857124,NO,2023-12-01,
NCT05135624,NO,2023-03,
NCT06205524,NO,2024-12-01,
NCT05747534,NO,2025-03-31,
NCT04842734,NO,2021-07-23,
NCT04932824,NO,2021-11-10,
NCT05746624,NO,2024-12-31,
NCT04376034,NO,2021-03-30,
NCT04416334,NO,2022-06-01,
NCT04429334,NO,2022-05-20,
NCT04444596,NO,2021-03-31,
NCT05886816,NO,2025-07-31,
NCT04800224,NO,2021-07-30,
NCT05040724,NO,2022-05,
NCT04360096,NO,2021-12-15,
NCT04395716,NO,2021-06,
NCT05543616,NO,2025-08-11,
NCT04646616,YES,2022-03-04,2023-05-12
NCT04597216,NO,2020-12-31,
NCT04441424,NO,2020-06-01,
NCT05439824,NO,2023-01-12,
NCT04853134,NO,2021-12-01,
NCT04636034,NO,2022-06-06,
NCT05047016,NO,2021-11,
NCT05035524,NO,2022-03-01,
NCT04801524,NO,2021-12-31,
NCT04324996,NO,2022-02-20,
NCT04362124,NO,2021-06,
NCT04887116,NO,2025-01,
NCT05092516,NO,2024-03,
NCT04360824,YES,2021-04-16,2022-12-06
NCT04445324,NO,2020-08-25,
NCT05343624,YES,2021-12-01,2022-11-22
NCT04683224,NO,2023-03-22,
NCT05612724,NO,2022-10-31,
NCT04659486,NO,2021-04-30,
NCT04668235,NO,2022-08-10,
NCT04447235,NO,2022-06-30,
NCT04737486,NO,2021-03-10,
NCT04278963,NO,2022-12,
NCT05736835,NO,2024-04,
NCT05313035,NO,2022-07-22,
NCT04530435,NO,2021-03-29,
NCT04708158,NO,2023-04-30,
NCT06095258,NO,2025-11-30,
NCT04871958,NO,2021-08-31,
NCT04458363,NO,2020-09-01,
NCT04973735,NO,2021-05-01,
NCT04417335,NO,2021-05,
NCT05334758,NO,2022-07-25,
NCT04307563,NO,2022-07-05,
NCT04720235,NO,2021-03-09,
NCT04445935,NO,2020-09-28,
NCT04513158,NO,2021-08-01,
NCT04444986,NO,2020-06-11,
NCT06076863,NO,2023-12-11,
NCT04700163,NO,2022-02-02,
NCT04366063,NO,2020-06-06,
NCT04970563,NO,2022-01-14,
NCT04361435,NO,2020-07-31,
NCT04728958,NO,2022-02-28,
NCT04668222,NO,2022-11-30,
NCT04761822,YES,2022-04-20,2023-04-13
NCT04521322,NO,2020-10-30,
NCT04494386,NO,2023-12-31,
NCT05544786,NO,2022-11-29,
NCT04762186,NO,2022-08-03,
NCT05954286,NO,2024-06,
NCT04969263,YES,2022-11-10,2023-12-19
NCT04348435,YES,2021-05-12,2022-09-14
NCT06147063,NO,2024-02-12,
NCT04577235,NO,2020-08-05,
NCT05056558,NO,2022-04,
NCT04468958,NO,2020-12-23,
NCT04767958,NO,2021-05-31,
NCT04536363,NO,2020-12-03,
NCT06165835,NO,2024-12-30,
NCT04535063,NO,2020-12-30,
NCT04780035,NO,2021-08-31,
NCT04380935,NO,2020-10-31,
NCT05366296,NO,2022-09,
NCT04429724,NO,2021-03-16,
NCT04504734,NO,2023-06-12,
NCT05422924,NO,2023-10-31,
NCT04497324,NO,2021-04-17,
NCT05923424,NO,2025-04-30,
NCT05365724,NO,2023-10-01,
NCT04979416,NO,2021-07-22,
NCT04706416,YES,2021-01-15,2021-10-27
NCT05780424,YES,2021-06-08,2024-01-08
NCT05087524,YES,2021-04-08,2022-01-14
NCT04558424,NO,2021-09-01,
NCT04421534,NO,2020-09,
NCT04731116,NO,2021-12-31,
NCT04649424,NO,2021-04-13,
NCT04821934,NO,2021-12-20,
NCT04280224,NO,2022-12-31,
NCT04373824,NO,2020-07-25,
NCT04460534,NO,2021-05-12,
NCT04447534,NO,2020-07-15,
NCT04361396,NO,2021-12-16,
NCT05795816,NO,2025-11-01,
NCT04603924,NO,2022-02-16,
NCT05706324,NO,2023-12,
NCT04432324,NO,2021-03-03,
NCT06036134,NO,2025-01-30,
NCT04355234,NO,2021-08-31,
NCT04410016,NO,2020-07-31,
NCT04977024,NO,2025-03-31,
NCT05890534,NO,2024-12-31,
NCT04993534,NO,2023-05,
NCT05494424,NO,2024-07,
NCT04723524,NO,2021-08-23,
NCT05092724,NO,2022-02-19,
NCT04638634,NO,2021-06-09,
NCT05043324,NO,2022-04-20,
NCT05013034,NO,2022-10-15,
NCT04661839,YES,2021-07-27,2022-04-07
NCT05268939,NO,2022-04-25,
NCT04386239,NO,2023-01-01,
NCT05178186,NO,2022-07-31,
NCT04808986,NO,2021-10-12,
NCT04668625,NO,2020-12-20,
NCT04419025,NO,2021-05-14,
NCT04573322,YES,2021-03-17,2022-03-14
NCT05157139,NO,2022-03,
NCT05387239,NO,2024-11,
NCT04800939,NO,2021-04-15,
NCT04366739,NO,2020-08-30,
NCT04405986,NO,2021-03-10,
NCT04517422,NO,2021-02-02,
NCT05808322,NO,2024-05-16,
NCT04371822,NO,2020-10,
NCT04530539,NO,2022-08-11,
NCT04746339,NO,2022-05-13,
NCT04834739,NO,2021-03-28,
NCT04590586,YES,2021-08-03,2022-05-24
NCT04522986,NO,2021-02-02,
NCT04459286,NO,2021-05-02,
NCT04826822,NO,2021-07-08,
NCT04634422,NO,2021-06-30,
NCT04409522,NO,2020-06-05,
NCT05965739,NO,2024-10,
NCT04596839,NO,2021-04-30,
NCT05035186,NO,2021-09-30,
NCT04959786,NO,2022-11,
NCT05016622,NO,2023-12,
NCT04347239,NO,2021-10-24,
NCT05918939,NO,2023-08-05,
NCT04858425,NO,2022-06-04,
NCT04505722,YES,2023-03-31,2022-01-25
NCT04551339,NO,2021-05-28,
NCT04854486,NO,2022-03-30,
NCT03963622,NO,2024-06,
NCT04843722,NO,2022-03,
NCT04824222,NO,2022-07,
NCT04916639,NO,2022-03-18,
NCT04706039,NO,2021-05-21,
NCT05635539,NO,2022-04-30,
NCT05085639,NO,2022-04,
NCT04394039,NO,2020-08-01,
NCT04872686,NO,2021-05-25,
NCT04529525,NO,2021-02-22,
NCT04360122,NO,2020-11-01,
NCT05477186,NO,2023-08-18,
NCT05986422,NO,2024-12-31,
NCT04341922,NO,2020-08-20,
NCT05597722,NO,2023-05-18,
NCT04790786,YES,2022-06-16,2023-03-14
NCT04487886,YES,2021-06-10,2022-12-22
NCT05040763,NO,2022-09-30,
NCT05999435,NO,2024-04-30,
NCT04844658,NO,2021-10-29,
NCT04568096,NO,2020-12,
NCT04379986,NO,2020-05-31,
NCT04721535,NO,2021-09-23,
NCT05033158,NO,2022-12-31,
NCT04442958,NO,2020-06-15,
NCT04501458,NO,2022-06-10,
NCT04343963,NO,2020-09-30,
NCT05465863,NO,2022-02-01,
NCT04408235,NO,2021-06,
NCT05244135,NO,2022-03-21,
NCT04344535,YES,2021-01-01,2021-09-20
NCT04591158,NO,2021-06-09,
NCT04479358,NO,2024-03-01,
NCT06091358,NO,2024-03-29,
NCT04342663,YES,2020-08-20,2021-07-01
NCT04479163,NO,2020-10-25,
NCT04715763,NO,2022-04-26,
NCT05323435,NO,2022-07-05,
NCT04869358,NO,2022-05-10,
NCT04537858,NO,2020-08-20,
NCT04993586,NO,2021-12-10,
NCT04429763,NO,2020-09,
NCT06039163,NO,2022-10-10,
NCT04894435,NO,2024-03,
NCT05881135,NO,2025-05,
NCT04701658,YES,2021-06-22,2021-11-11
NCT05411458,NO,2022-08-10,
NCT04603963,NO,2020-10-10,
NCT05074563,NO,2022-02-14,
NCT04709835,YES,2021-09-17,2022-09-15
NCT05157035,NO,2022-10-14,
NCT05872958,NO,2024-08-09,
NCT04796896,NO,2024-04-05,
NCT04621058,NO,2021-11-30,
NCT05612386,NO,2022-12-08,
NCT04747158,NO,2020-12-10,
NCT04517396,YES,2022-03-30,2022-12-28
NCT05007496,NO,2021-05-31,
NCT04652596,NO,2023-02-13,
NCT05133596,NO,2024-01-09,
NCT04909996,NO,2021-11-30,
NCT04397796,NO,2022-06,
NCT04488796,NO,2020-12-16,
NCT05823896,NO,2024-01-31,
NCT05360563,NO,2023-12,
NCT05279235,NO,2022-12-15,
NCT05398835,NO,2022-12-31,
NCT04409925,NO,2021-04-01,
NCT05939622,NO,2022-12-20,
NCT04416139,NO,2021-04-30,
NCT05523739,NO,2022-12-21,
NCT04655586,YES,2021-12-06,2022-07-14
NCT04873622,NO,2021-09-08,
NCT04568122,YES,2022-12-10,2023-11-20
NCT04361422,NO,2021-08,
NCT04609722,NO,2020-12-01,
NCT04678739,NO,2021-01-30,
NCT04811339,YES,2021-08-15,2022-03-22
NCT05890586,YES,2022-07-04,2023-07-03
NCT06145386,NO,2024-01-21,
NCT05228886,NO,2024-09-30,
NCT04537663,NO,2021-07-08,
NCT04981535,NO,2021-12-24,
NCT04830735,NO,2023-12-15,
NCT04805086,NO,2022-06-01,
NCT04949386,NO,2021-12,
NCT05261022,NO,2023-01,
NCT05144139,NO,2022-08-28,
NCT04642339,NO,2021-10,
NCT04390139,NO,2022-12-20,
NCT06121739,NO,2023-12-20,
NCT05812586,NO,2023-06,
NCT04335786,NO,2021-05-25,
NCT06211686,NO,2024-12-01,
NCT04758286,NO,2021-02-01,
NCT04351763,NO,2021-05-25,
NCT04958863,NO,2021-03-31,
NCT05381363,NO,2023-01-01,
NCT04240886,YES,2022-03-29,2023-03-29
NCT04324463,NO,2022-12-30,
NCT04559035,NO,2021-01-18,
NCT04880135,NO,2021-08-30,
NCT05133635,NO,2021-04-01,
NCT04842435,NO,2021-09-30,
NCT04636086,NO,2022-04-10,
NCT04581863,YES,2021-02-05,2022-11-15
NCT05035563,NO,2022-03-01,
NCT04373135,NO,2021-02,
NCT05405335,NO,2022-02-28,
NCT05115435,NO,2021-08-01,
NCT05722730,NO,2023-03-30,
NCT04667286,NO,2021-06-01,
NCT04415086,NO,2022-02-15,
NCT04871386,NO,2020-05-18,
NCT04734886,NO,2021-09-13,
NCT04482686,NO,2022-05,
NCT05201625,NO,2022-12,
NCT04459325,NO,2020-07-20,
NCT04521296,NO,2021-09-14,
NCT06159296,NO,2024-05-31,
NCT05690516,NO,2023-05-01,
NCT05599516,NO,2023-10,
NCT04956224,NO,2021-11-10,
NCT04490824,NO,2023-12-31,
NCT05595824,NO,2022-03-11,
NCT04409496,NO,2021-01-22,
NCT04564716,NO,2021-03-28,
NCT04666116,NO,2020-12,
NCT04425616,NO,2023-10-13,
NCT04375124,NO,2020-08-31,
NCT06183424,NO,2024-10-01,
NCT04519424,NO,2021-04,
NCT04495816,YES,2021-12-31,2022-09-15
NCT04901624,NO,2023-06-03,
NCT05150496,NO,2023-01-15,
NCT06137716,NO,2023-02-01,
NCT04527224,NO,2023-11-01,
NCT04519216,NO,2021-10-30,
NCT04798716,NO,2024-09,
NCT05198596,NO,2022-11-04,
NCT04818216,YES,2021-12-09,2023-09-20
NCT05354024,NO,2023-10-05,
NCT04359316,NO,2020-05-03,
NCT04910516,NO,2021-05-25,
NCT05998824,NO,2024-03-30,
NCT04322396,YES,2021-02-02,2021-06-15
NCT04351516,NO,2020-12-31,
